Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2021-08-17,218,1550.787965517552,12400.892407014966,67.0,67,,,,0.5239969584055713,1.7324453592300415,0.24589978158473969,18008,72.14900207519531,72.14900207519531,72.14900207519531,,,
2021-08-18,300,1551.2966769324978,17801.475426421443,117.0,117,,,,0.5647506078916134,1.5607296228408813,0.24290315806865692,25837,71.50499725341797,71.50499725341797,71.50499725341797,,,
2021-08-19,153,1549.5500629944816,12449.822840238212,126.0,117,,,,0.45540987489895735,2.101006031036377,0.24434249103069305,17319,70.66699981689453,70.66699981689453,70.66699981689453,,,
2021-08-20,115,1541.2749065287178,8680.579615718463,89.0,89,,,,0.40025731806911713,1.602552056312561,0.24310405552387238,12389,70.93800354003906,70.93800354003906,70.93800354003906,,,
2021-08-21,256,1541.1697838623336,13170.643846107647,58.0,58,,,,0.5871929421664612,1.4678764343261719,0.2575587034225464,19834,72.00499725341797,72.00499725341797,72.00499725341797,,,
2021-08-22,139,1544.224812034209,8311.392757704481,64.0,64,,,,0.5620633326497889,1.4750702381134033,0.2510583996772766,12360,72.29399871826172,72.29399871826172,72.29399871826172,,,
2021-08-23,200,1553.2964047205949,10456.76911293785,49.0,49,,,,0.6262455033424528,1.5087978839874268,0.244807168841362,15726,71.72200012207031,71.72200012207031,71.72200012207031,,,
2021-08-24,232,1551.7199890245122,12493.476667652838,68.0,68,,,,0.5925429889419986,1.408412218093872,0.2426229864358902,18805,,,,,,
2021-08-25,246,1551.7199615189313,10574.35928498581,12.0,12,,,,0.5838691425695401,1.4822685718536377,0.23903495073318481,16361,,,,,,
2021-08-26,235,1551.1388256715268,12021.50243966654,45.0,35,,,,0.4930350536280293,2.282386541366577,0.23722055554389954,18104,70.75399780273438,70.75399780273438,70.75399780273438,,,
2021-08-27,257,415.5389957012072,15093.66333621554,89.0,89,,,,0.5482999670738029,1.5941336154937744,0.2510583996772766,21978,71.04399871826172,71.04399871826172,71.04399871826172,,,
2021-08-28,89,1542.0400127360638,6016.153936931863,57.0,42,,,,0.4774457452146956,2.3774640560150146,0.22923023998737335,8900,70.88300323486328,70.88300323486328,70.88300323486328,,,
2021-08-29,64,1548.6470881606583,3910.5252591592725,27.0,27,,,,0.4306980032720335,1.582516074180603,0.2510583996772766,6044,72.39199829101562,72.39199829101562,72.39199829101562,,,
2021-08-30,174,1557.4955377188558,10664.529737528414,83.0,83,,,,0.6221607824854833,1.5589977502822876,0.24471986293792725,15851,71.36499786376953,71.36499786376953,71.36499786376953,,,
2021-08-31,101,1548.1498737263455,4441.0989392953925,5.0,5,,,,0.5767125169278519,1.3310242891311646,0.2510583996772766,6944,,,,,,
2021-09-01,217,1548.1497849921288,11314.519413861912,48.0,48,,,,0.5750197945212163,1.722234845161438,0.2510583996772766,17121,,,,,,
2021-09-02,202,1548.149845559058,10032.950182066299,44.0,43,,,,0.5900942152308948,2.3055031299591064,0.24843493103981018,15218,,,,,,
2021-09-03,91,1548.1499821874042,4943.5614567659795,34.0,34,,,,0.5663374354272385,1.3598889112472534,0.2615191638469696,7474,,,,,,
2021-09-04,33,1548.1498822479725,2628.486478328705,30.0,30,,,,1.3290357390244938,1.5423595905303955,0.25451385974884033,3693,,,,,,
2021-09-05,49,1548.1497798391326,1896.659498322755,4.0,4,,,,0.6118959845732502,1.3355714082717896,0.2510583996772766,3034,,,,,,
2021-09-06,125,1548.1498127245209,5159.47256341856,8.0,8,,,,0.5416175881701405,1.3691041469573975,0.24903623759746552,8272,,,,,,
